Time,Distance,Status
781,3376,OK
652,2935,OK
1005,3940,OK
953,3819,OK
650,2766,OK
952,3805,OK
833,3280,OK
840,3149,OK
1029,4242,OK
965,4363,OK
717,3077,OK
710,3110,OK
710,3110,OK
1008,4210,OK
912,3906,OK
814,3826,OK
716,3431,OK
858,3450,OK
982,3980,OK
983,3992,OK
676,2927,OK
848,3370,OK
966,3902,OK
954,3824,OK
966,3703,OK
975,3975,OK
952,3810,OK
767,3435,OK
983,4011,OK
715,3129,OK
1047,3586,OK
743,3240,OK
958,4587,OK
760,3116,OK
897,4507,OK
787,3114,OK
845,3315,OK
863,4261,OK
863,4261,OK
734,3186,OK
825,4123,OK
883,4376,OK
991,4824,OK
836,3304,OK
959,3661,OK
926,3982,OK
765,3373,OK
693,2989,OK
892,3825,OK
955,3827,OK
1056,3922,OK
1010,4220,OK
739,3414,OK
769,3382,OK
761,3123,OK
1025,4229,OK
843,3345,OK
876,3930,OK
909,4098,OK
856,3436,OK
982,3977,OK
1043,3581,OK
957,3636,OK
1018,4196,OK
1018,4196,OK
997,4127,OK
953,3815,OK
928,3993,OK
688,3231,OK
985,4399,OK
935,3321,OK
766,3060,OK
729,2979,OK
869,3858,OK
888,3992,OK
837,3310,OK
976,3641,OK
730,3141,OK
711,3351,OK
723,3160,OK
981,3972,OK
843,3341,OK
1004,3938,OK
1037,3574,OK
984,4021,OK
767,3152,OK
843,3344,OK
893,4391,OK
825,3393,OK
708,3353,OK
708,3353,OK
979,3964,OK
789,3303,OK
1033,3570,OK
956,3630,OK
980,3968,OK
900,4538,OK
972,4362,OK
846,3686,OK
715,3112,OK
894,3837,OK
994,4122,OK
954,3822,OK
714,3116,OK
807,3797,OK
761,3125,OK
905,3273,OK
971,4355,OK
694,3305,OK
906,3281,OK
823,3363,OK
954,3825,OK
750,2971,OK
720,3147,OK
1014,4171,OK
955,3624,OK
955,3624,OK
727,3294,OK
709,3349,OK
841,3338,OK
944,3375,OK
984,4473,OK
1023,4607,OK
780,3418,OK
720,3142,OK
952,3621,OK
766,3433,OK
974,3938,OK
912,3906,OK
685,2930,OK
894,4081,OK
946,3402,OK
938,4054,OK
943,4105,OK
954,3826,OK
714,3113,OK
726,3177,OK
1071,3779,OK
938,4056,OK
704,3138,OK
744,3275,OK
794,3729,OK
794,3729,OK
949,3425,OK
719,3383,OK
953,3618,OK
1009,3474,OK
991,4144,OK
750,3209,OK
929,4005,OK
717,3120,OK
956,3643,OK
720,3156,OK
979,4009,OK
1012,4233,OK
720,3142,OK
851,3391,OK
724,3167,OK
1013,3949,OK
1012,4544,OK
